filename,tps,innodb_thread_concurrency,thread_cache_size,max_connections,query_cache_size,sort_buffer_size,join_buffer_size,tmp_table_size,innodb_purge_threads,innodb_read_io_threads,innodb_write_io_threads,optimizer_search_depth,cpu,innodb_buffer_pool_size,key_buffer_size,innodb_io_capacity,innodb_io_capacity_max,sync_binlog,open_files_limit,table_open_cache,readIO,writeIO,IO
history_task6_mbo.json,72275.16699301437,,,,,,,,,,,,97.53458333252053,,,,,,,,314.5396158827955,304.0191406224665,618.558756505262
history_task6_smac.json,55969.31499334087,,,,,,,,,,,,77.69645833268586,,,,,,,,345.33118489295555,433.37425129847185,778.7054361914275
history_task7_ddpg.json,5778.306,161,,699,106352104,,,,,,,,97.75036458251877,29868040192,469339271,,14199,,1422,,125.55491536353703,378.01757812184985,503.5724934853869
history_task7_ga.json,5244.922000000001,0,,54043,1897993,,,,,,,,96.15723958253203,29515923661,3268402438,,23066,,27486,,138.56943359259526,411.3739583299052,549.9433919225005
history_task7_mbo.json,5450.580666666667,0,,99861,2990940,,,,,,,,97.97239583251678,29608458240,8342674948,,39977,,350126,,75.2070638014566,339.8232421846681,415.03030598612474
history_task7_smac.json,5585.864666666666,0,,4085,493262,,,,,,,,97.60328124918665,25612562022,166078263,,407,,346249,,277.1905598935234,284.62399088304477,561.8145507765682
history_task8_ddpg.json,5188.739333333333,111,,88479,,,,,,,,,97.4960937491875,30641652327,,,,,,,113.48580729072094,308.41204426826323,421.89785155898414
history_task8_ga.json,5056.604666666667,0,,170,,,,,,,,,95.26312499920611,31069429965,,,,,,,125.29560546770587,389.2904296842559,514.5860351519618
history_task8_mbo.json,5418.41,480,,888,,,,,,,,,96.92427083252561,30267891303,,,,,,,76.51689453061236,299.5894531225034,376.1063476531158
history_task8_smac.json,4981.288666666666,108,,4340,,,,,,,,,97.36354166585535,26997575885,,,,,,,169.39742838400502,356.4116536428632,525.8090820268683
history_task9_ddpg.json,5343.651999999999,,,,,,,,,,,,97.0218749991915,21873120358,,30108,224,,,,374.8162760385432,322.4070637993966,697.2233398379399
history_task9_ga.json,5655.852000000002,,,,,,,,,,,,97.5934895825201,27201740595,,200,17463,,,,143.8559570300512,413.9139648403007,557.7699218703519
history_task9_mbo.json,5518.990000000001,,,,,,,,,,,,97.53458333252053,24457671066,,200,135,,,,314.5396158827955,304.0191406224665,618.558756505262
history_task9_smac.json,4273.862,,,,,,,,,,,,77.69645833268586,20040253440,,6575,156,,,,345.33118489295555,433.37425129847185,778.7054361914275
